NHHouse201,GEOID,NAMELSAD
BE8,33008,State House District Belknap County No. 8
BE9,33009,State House District Belknap County No. 9
CA7,33107,State House District Carroll County No. 7
CA8,33108,State House District Carroll County No. 8
CH14,33214,State House District Cheshire County No. 14
CH15,33215,State House District Cheshire County No. 15
CH16,33216,State House District Cheshire County No. 16
CO7,33307,State House District Coos County No. 7
GR14,33414,State House District Grafton County No. 14
GR15,33415,State House District Grafton County No. 15
GR16,33416,State House District Grafton County No. 16
GR17,33417,State House District Grafton County No. 17
HI38,33538,State House District Hillsborough County No. 38
HI39,33539,State House District Hillsborough County No. 39
HI40,33540,State House District Hillsborough County No. 40
HI41,33541,State House District Hillsborough County No. 41
HI42,33542,State House District Hillsborough County No. 42
HI43,33543,State House District Hillsborough County No. 43
HI44,33544,State House District Hillsborough County No. 44
HI45,33545,State House District Hillsborough County No. 45
ME25,33625,State House District Merrimack County No. 25
ME26,33626,State House District Merrimack County No. 26
ME27,33627,State House District Merrimack County No. 27
ME28,33628,State House District Merrimack County No. 28
ME29,33629,State House District Merrimack County No. 29
RO30,33730,State House District Rockingham County No. 30
RO31,33731,State House District Rockingham County No. 31
RO32,33732,State House District Rockingham County No. 32
RO33,33733,State House District Rockingham County No. 33
RO34,33734,State House District Rockingham County No. 34
RO35,33735,State House District Rockingham County No. 35
RO36,33736,State House District Rockingham County No. 36
RO37,33737,State House District Rockingham County No. 37
ST19,33819,State House District Strafford County No. 19
ST20,33820,State House District Strafford County No. 20
ST21,33821,State House District Strafford County No. 21
ST22,33822,State House District Strafford County No. 22
ST23,33823,State House District Strafford County No. 23
ST24,33824,State House District Strafford County No. 24
ST25,33825,State House District Strafford County No. 25
SU10,33910,State House District Sullivan County No. 10
SU11,33911,State House District Sullivan County No. 11
SU9,33909,State House District Sullivan County No. 9
